player_name,ave_score,sr,balls_faced,hundreds/innings,fifties/innings,fours_rate,six_rate,vulnerability
Tinu Yohannan,6.0,85.71,7,0.0,0.0,0.0,0.0,0.14285714285714285
Abdur Razzak,8.0,84.38,237,0.0,0.0,0.05063291139240506,0.02531645569620253,0.10548523206751055
Neravanda Aiyappa,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0
Shivnarine Chanderpaul,23.52,105.77,1490,0.0,0.10256410256410256,0.11006711409395974,0.018120805369127517,0.04496644295302014
Misbah-ul-Haq,32.99,116.31,2893,0.007246376811594203,0.08695652173913043,0.0750086415485655,0.04631870031109575,0.03525751814725199
Ashley Noffke,14.61,139.15,189,0.0,0.0,0.10052910052910052,0.0582010582010582,0.09523809523809523
Napoleon Einstein,19.0,105.55,18,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555
Stephen Fleming,23.14,121.91,949,0.0,0.11320754716981132,0.1643835616438356,0.023182297154899896,0.05268703898840885
Chamara Kapugedera,21.0,129.88,1536,0.0,0.06542056074766354,0.09505208333333333,0.056640625,0.061848958333333336
Suresh Kumar,31.55,179.74,158,0.0,0.07692307692307693,0.13291139240506328,0.10126582278481013,0.056962025316455694
Sanjay Bangar,15.24,124.5,306,0.0,0.07142857142857142,0.11437908496732026,0.05555555555555555,0.08169934640522876
Shahid Afridi,18.6,155.3,2564,0.004098360655737705,0.036885245901639344,0.11466458658346333,0.08853354134165367,0.08346333853354135
Robin Singh,38.0,122.58,31,0.0,0.0,0.06451612903225806,0.03225806451612903,0.03225806451612903
Brett Geeves,22.16,135.71,98,0.0,0.0,0.09183673469387756,0.061224489795918366,0.061224489795918366
Mohammad Asif,4.33,86.66,15,0.0,0.0,0.13333333333333333,0.0,0.2
Shoaib Malik,37.27,125.25,6487,0.0,0.15946843853820597,0.09680900262062586,0.03792199784183752,0.03360567288423
Mayank Tehlan,17.66,123.25,43,0.0,0.0,0.11627906976744186,0.0,0.06976744186046512
Pankaj Dharmani,9.4,111.9,42,0.0,0.0,0.09523809523809523,0.0,0.11904761904761904
