key,0s,1s,2s,3s,4s,6s,outs,balls
"1, 2",2,3,1,0,1,0,0,7
"2, 2",3,3,1,0,1,1,0,9
"3, 2",1,5,2,0,0,3,0,11
"2, 3",1,2,0,1,1,0,0,5
"3, 2",3,4,1,0,1,0,0,9
"2, 3",7,10,1,0,0,1,0,19
"2, 3",1,1,0,0,0,0,1,2
"3, 2",2,0,0,0,0,0,1,2
"2, 4",0,3,0,0,0,0,0,3
"1, 4",0,1,0,0,0,0,0,1
"2, 3",1,0,0,0,0,0,1,1
"2, 4",1,5,0,0,1,0,0,7
"0, 4",0,1,0,0,1,0,0,2
"3, 4",2,2,0,0,0,0,1,4
"1, 3",5,3,0,0,0,2,0,10
"3, 2",2,2,0,0,1,0,0,5
"2, 4",2,6,0,0,0,0,0,8
"2, 4",5,6,0,0,0,0,1,11
"2, 4",9,16,2,0,3,0,1,30
"J Theron, 2",1,1,0,0,0,0,1,2
"0, 4",0,1,0,0,0,0,0,1
"2, 4",4,5,1,0,1,1,0,12
"2, 3",7,11,4,0,4,0,0,26
"1, 2",8,3,0,0,1,0,1,12
"2, 4",1,1,0,0,0,0,1,2
"0, 3",3,4,0,0,0,1,0,8
"2, 3",0,2,0,0,0,0,0,2
"2, 2",19,24,1,0,4,5,4,53
"0, 2",1,0,0,0,0,0,1,1
"2, 3",2,3,0,0,0,0,0,5
"0, 4",1,6,0,0,1,0,0,8
"2, 3",3,3,0,0,0,0,1,6
"0, 4",0,2,0,0,0,0,0,2
"0, 3",1,2,0,0,0,0,0,3
"0, 4",1,1,1,0,0,0,0,3
"2, 3",7,22,1,0,1,3,1,34
"2, 3",4,1,1,0,0,0,1,6
"2, 3",5,8,1,0,2,0,0,16
"2, 3",14,25,4,0,3,2,1,48
"2, 3",0,1,1,0,2,0,0,4
"2, 2",3,6,0,0,0,0,0,9
"0, 2",0,3,0,0,1,0,0,4
"2, 3",2,0,0,0,1,1,0,4
"2, 4",3,3,1,0,0,0,1,7
"0, 4",2,1,0,0,2,0,0,5
"2, 4",6,4,3,0,1,1,0,15
"0, 4",0,1,0,0,0,1,0,2
"2, 2",2,0,0,0,0,0,1,2
"0, 3",0,1,0,0,0,0,0,1
"0, 4",0,1,0,0,0,0,0,1
"1, 2",1,1,1,0,0,0,0,3
"3, 4",0,1,1,0,1,0,0,3
"0, 3",2,0,0,0,0,0,0,2
"0, 4",3,2,0,0,0,0,0,5
"2, 2",2,4,0,0,1,1,1,8
"2, 3",1,1,1,0,2,1,0,6
"0, 3",0,1,0,0,0,0,0,1
"0, 2",1,0,0,0,0,0,1,1
"2, 4",6,2,2,0,4,2,1,16
"3, 3",1,0,0,0,0,0,1,1
"2, Mohammed Siraj",0,2,0,0,1,0,0,3
"2, 3",1,3,0,0,2,0,0,6
"2, 4",1,0,0,0,0,0,1,1
"2, 2",1,3,0,0,0,0,1,4
"Basil Thampi, 4",0,3,1,0,1,0,0,5
"2, 3",3,3,1,0,1,0,0,8
"0, 4",0,1,0,0,0,0,0,1
"2, 3",2,5,1,0,0,1,1,9
"2, 2",31,48,12,0,5,2,2,98
"2, 4",4,5,1,0,1,0,1,11
"1, 2",6,4,0,0,0,1,0,11
"0, 2",5,4,0,0,0,0,0,9
"1, 2",20,5,1,0,7,2,3,35
"2, 4",1,2,0,0,0,0,0,3
"2, 2",9,10,1,0,1,0,3,21
"2, 2",0,3,0,0,0,0,0,3
"3, 2",2,0,0,0,0,0,1,2
"2, 2",0,3,0,0,0,0,0,3
"2, 2",3,4,2,0,1,0,1,10
"2, 2",13,3,1,0,4,5,0,26
"3, 2",2,0,0,0,0,0,0,2
"0, 3",3,1,0,0,0,0,1,4
"0, 3",2,2,0,0,2,0,0,6
"1, 2",11,6,1,0,2,1,1,21
"2, 4",0,1,2,0,0,0,0,3
"1, 4",1,3,0,0,2,0,0,6
"2, 3",4,0,0,0,1,0,0,5
"0, J Theron",3,1,0,0,0,0,1,4
"0, 4",1,1,1,0,0,0,0,3
"0, 2",2,1,0,0,1,0,0,4
"2, 4",6,12,0,0,3,1,2,22
"3, 2",3,0,0,0,0,0,1,3
"1, 2",6,5,0,0,1,1,1,13
"2, 2",0,2,0,0,0,0,0,2
"2, 2",12,9,2,0,3,1,2,27
"0, 4",0,1,0,0,0,0,0,1
"0, 4",3,2,0,0,2,0,1,7
"2, 3",3,1,1,0,1,1,0,7
"1, 4",13,4,1,0,5,2,1,25
"1, 4",6,5,3,0,2,1,0,17
"1, 3",2,3,1,0,0,1,0,7
"0, 4",6,1,0,0,0,2,0,9
"2, 2",4,1,0,0,0,0,0,5
"1, 4",5,3,0,0,2,0,0,10
"2, 3",3,3,2,0,0,0,0,8
"2, 2",3,1,0,0,1,1,0,6
"2, 3",0,0,1,0,2,0,0,3
"0, K Rabada",1,1,0,0,0,0,0,2
"0, 2",2,0,0,0,1,0,1,3
"2, Mohammed Siraj",0,1,0,0,1,0,0,2
"2, 3",8,4,0,0,4,0,0,16
"0, 4",3,2,0,0,2,0,0,7
"2, 3",3,5,1,0,0,0,1,9
"2, 2",2,4,1,0,0,0,0,7
"2, 3",0,1,0,0,0,0,0,1
"0, 4",1,1,1,0,2,0,0,5
"0, 4",1,2,0,0,0,0,0,3
"1, 3",2,2,0,0,0,0,0,4
"0, J Theron",5,4,0,0,2,0,0,11
"0, 4",2,2,2,0,2,1,0,9
"2, 4",0,1,0,0,1,0,0,2
"2, 2",7,7,2,0,0,1,0,17
"2, TS Mills",1,2,0,0,1,0,0,4
"3, 4",3,1,1,0,0,0,1,5
"2, 4",3,1,1,0,1,0,0,6
"2, 4",1,3,0,0,1,1,1,6
"0, 4",2,2,1,0,1,0,0,6
"2, 3",4,4,0,0,1,0,0,9
"0, 4",1,1,1,0,0,0,0,3
"0, 2",5,0,1,0,1,0,0,7
"2, 3",9,3,1,0,3,1,1,17
"2, 3",1,1,0,0,2,0,0,4
"2, 2",7,4,0,0,1,0,2,12
"0, 4",6,2,0,0,2,0,0,10
"0, 3",0,2,0,0,0,0,0,2
"0, 2",0,0,1,0,0,0,0,1
"2, 3",1,3,0,0,1,0,0,5
"0, 2",6,0,0,0,0,0,1,6
"2, 2",17,26,3,0,9,1,0,56
"Ankit Soni, 4",1,0,0,0,0,0,1,1
"1, 4",9,3,1,0,4,0,1,17
"2, 3",2,10,2,0,2,0,0,16
"1, 4",2,0,0,0,0,0,0,2
"0, 3",0,1,1,0,1,0,0,3
"2, 4",1,2,0,0,0,0,0,3
"1, 4",5,0,0,0,2,2,1,9
"0, 2",5,1,0,0,0,1,1,7
"2, 3",1,2,0,0,0,2,0,5
"2, 4",2,2,1,0,0,0,1,5
"0, 3",2,0,0,0,1,0,1,3
"1, 3",0,3,0,0,0,1,0,4
"2, 4",3,8,0,0,2,1,0,14
"1, 3",3,0,0,0,1,1,0,5
"2, 2",2,1,0,0,0,0,1,3
"2, 3",6,3,0,0,1,6,1,16
"2, 2",10,7,1,0,2,2,2,22
"2, 4",7,11,3,0,2,3,2,26
"2, 2",5,2,0,0,1,0,1,8
"2, 4",5,1,0,0,1,0,1,7
"2, 4",13,3,1,0,2,1,2,20
"2, 4",0,2,0,0,0,0,0,2
"3, 4",1,1,0,0,1,0,0,3
"2, 4",1,4,0,0,4,0,0,9
"1, 3",0,1,0,0,0,0,0,1
"2, 4",0,1,0,0,0,0,0,1
"2, 4",9,4,0,0,2,0,2,15
"2, 2",3,4,2,0,2,0,0,11
"0, 4",4,5,0,0,0,0,1,9
"0, 4",2,1,0,0,0,0,0,3
"1, 4",0,1,0,0,0,0,0,1
"2, 2",3,6,0,0,4,0,1,13
"2, 4",4,6,2,0,2,2,0,17
"2, 2",2,1,0,0,0,0,1,3
"Vishnu Vinod, 4",1,1,0,0,0,0,0,2
"0, 3",1,0,2,0,0,0,1,3
"0, 4",5,5,2,0,3,1,0,16
"0, 4",0,2,1,0,0,0,0,3
"0, 4",1,2,0,0,1,0,0,4
"2, 3",3,0,1,0,0,0,0,4
"2, 4",6,1,0,0,0,2,1,9
"2, 3",1,2,0,0,0,0,0,3
"2, 4",5,4,0,0,2,0,0,11
"3, 2",1,1,0,0,0,1,0,3
"2, 3",2,6,0,0,1,0,1,9
"2, 3",2,3,2,0,0,0,1,7
"2, 4",5,2,0,0,0,0,1,7
"2, 3",0,2,1,0,1,0,0,4
"0, 2",1,3,0,0,2,2,0,8
"0, 2",2,2,0,0,0,0,0,4
"2, 4",12,20,1,1,5,0,0,39
"0, 4",6,6,0,0,1,1,0,14
"0, 4",2,3,0,0,1,1,1,7
"2, 3",4,1,0,1,0,0,0,6
"3, 4",0,1,0,0,1,0,0,2
"1, 3",3,2,0,0,2,0,0,7
"2, 3",1,1,0,0,0,0,0,2
"1, 4",0,2,0,0,0,0,0,2
"0, TS Mills",0,1,0,0,0,0,0,1
"2, 4",5,7,2,0,2,1,2,17
"2, 4",5,2,3,0,2,4,1,16
"2, 4",1,1,0,0,2,0,0,4
"2, 4",11,6,0,0,4,0,2,21
"2, 2",7,6,0,0,0,0,0,13
"3, 2",0,2,0,0,0,0,0,2
"1, 3",2,2,0,0,0,0,0,4
"2, 3",4,6,0,0,0,1,0,11
"0, 3",7,8,0,0,2,0,1,17
"2, 3",6,0,0,0,3,2,0,11
"0, 2",6,3,0,0,0,1,0,10
"0, 2",1,2,0,0,0,0,0,3
"2, 2",0,3,1,0,0,1,0,5
"0, 4",0,1,0,0,0,0,0,1
"2, 2",0,2,0,0,0,0,0,2
"0, 4",2,2,2,0,0,0,1,6
"2, 2",3,5,0,0,3,0,0,11
"0, 4",2,1,0,0,1,0,0,4
"0, 2",0,1,0,0,1,1,0,3
"0, 4",7,9,1,0,2,0,0,19
"2, 2",1,1,0,0,1,0,1,3
"0, 3",3,9,0,0,0,0,0,12
"1, 2",1,0,0,0,0,0,1,1
"0, 3",1,1,0,0,0,0,0,2
"0, 4",1,1,0,0,0,0,1,2
"0, 2",3,8,2,0,1,0,0,14
"2, 2",15,21,3,0,3,0,1,42
"2, 4",4,0,0,0,2,1,0,7
"0, 3",1,1,0,0,1,1,1,4
"2, 2",12,13,1,0,2,0,1,28
"2, 2",5,8,1,0,0,0,0,14
"2, 2",1,3,0,0,0,0,0,4
"2, 3",2,1,0,0,0,0,1,3
"2, 4",7,1,0,0,3,1,2,12
"1, 2",27,6,0,0,3,2,1,38
"0, 3",0,2,0,0,0,0,0,2
"2, 2",2,2,0,0,0,0,0,4
"0, 2",1,1,1,0,1,0,0,4
"2, 1",1,3,0,0,0,1,0,5
"2, 2",7,7,2,0,0,1,0,17
"2, 3",0,2,0,0,1,0,0,3
"2, 3",3,2,0,0,2,0,0,7
"3, 2",0,1,0,0,2,2,0,5
"2, 4",2,1,0,0,0,0,0,3
"0, 2",3,4,0,0,2,0,0,9
"2, 3",1,0,1,0,2,2,0,6
"1, 2",3,3,0,0,2,1,0,9
"1, 4",6,4,3,0,0,0,1,13
"0, 2",1,1,2,0,0,0,0,4
"2, 3",0,3,0,0,1,0,0,4
"2, 3",3,0,0,0,2,1,0,6
"3, 4",1,0,0,0,0,0,1,1
"2, 3",1,4,0,0,0,0,0,5
"2, 3",3,5,2,0,1,2,0,13
"0, 4",2,2,0,0,1,0,0,5
"3, 4",0,2,0,0,0,0,0,2
"2, 3",2,2,0,0,0,0,0,4
"1, 4",3,1,0,0,2,1,0,7
"2, 2",0,1,1,0,0,0,0,2
"2, 2",12,4,1,0,2,1,4,20
"2, 2",2,2,0,0,0,0,1,4
"2, SS Sarkar",0,0,0,0,1,0,0,1
"2, 3",4,3,3,0,0,0,0,10
"2, 2",2,2,1,0,0,0,1,5
"2, 2",14,36,2,0,2,5,0,59
"0, 4",0,1,0,0,0,0,0,1
"2, 4",2,0,1,0,0,0,1,3
"2, 4",29,7,1,0,6,2,3,45
"2, 4",6,4,2,0,3,1,2,16
"2, 4",0,3,0,0,2,1,0,6
"2, 2",18,13,0,0,6,0,1,37
"2, 4",8,5,1,0,1,0,0,15
"2, 3",1,4,0,0,1,0,0,6
"2, 4",3,4,0,0,0,0,1,7
"2, 2",2,5,0,0,1,0,0,8
"2, 3",2,1,2,0,3,0,0,8
"0, 2",1,0,1,0,0,0,1,2
"0, 4",1,0,0,0,0,0,0,1
"2, 3",10,3,1,0,0,0,0,14
"2, 4",18,7,4,0,9,0,1,38
"2, 3",1,0,0,0,0,0,0,1
"2, 2",4,2,0,0,1,0,0,7
"2, 3",3,2,0,0,0,0,1,5
"0, 4",1,0,1,0,0,0,0,2
"1, 4",7,7,1,0,1,0,3,16
"2, 4",6,17,1,0,0,0,1,24
"0, 4",1,1,0,0,0,0,0,2
"2, 4",4,0,0,0,2,0,0,6
"2, 3",3,0,1,0,1,0,0,5
"2, 2",3,8,5,0,0,2,0,18
"0, 3",2,1,0,0,0,0,0,3
"2, Mohammed Siraj",0,1,0,0,0,0,0,1
"0, 4",1,1,0,0,0,0,0,2
"1, 3",0,6,0,0,0,0,0,6
"0, 4",2,0,0,1,0,1,0,4
"1, 2",1,0,0,0,0,0,0,1
"0, 3",2,2,1,0,0,1,0,6
"2, 2",0,2,1,0,0,0,0,3
"0, 4",0,0,0,0,2,0,0,2
"2, 4",2,1,0,0,0,3,0,6
"1, 3",4,1,0,0,2,0,1,7
"0, 4",4,3,0,0,0,0,0,7
"2, 2",0,1,0,0,1,0,0,2
"1, 3",3,2,1,0,0,0,0,6
"3, 2",2,1,0,0,0,1,0,4
"0, 3",7,2,0,1,2,0,1,12
"0, 3",2,1,0,0,0,0,0,3
"2, 3",1,1,1,0,0,0,0,3
"2, 2",1,4,0,0,0,0,0,5
"1, 2",1,4,0,0,1,0,0,6
"1, 3",17,6,1,0,4,3,1,31
"2, 3",7,2,0,0,1,0,0,10
"2, 4",3,2,0,0,1,1,0,7
"2, 2",7,7,2,0,2,0,0,18
"2, 4",0,3,1,0,0,0,0,4
"3, 4",3,1,1,0,0,0,0,5
"2, 4",1,3,0,0,2,2,0,8
"0, 3",3,2,1,0,0,0,0,6
"0, Mohammad Nabi",3,2,0,0,0,0,0,5
"AN Ahmed, 4",3,3,0,0,0,0,0,6
"2, 3",2,3,0,0,0,0,0,5
"0, 4",2,0,1,0,0,0,0,3
"0, 4",3,0,0,0,0,1,1,4
"2, 3",1,2,0,0,1,0,0,4
"2, 3",5,6,0,0,3,0,0,14
"0, 4",0,2,0,0,0,0,0,2
"2, 2",0,1,0,0,0,0,0,1
"0, 2",14,7,0,0,1,0,1,22
"2, 3",1,2,2,0,0,0,1,5
"2, 3",7,3,0,0,1,0,1,11
