player_id,player_name,matches,bat_inns,not_outs,runs_scored,highest_score,ave_score,balls_faced,sr,hundreds,fifties,fours,sixes,bowl_inns,balls,runs_conceded,wkts,bowl_ave,econ,bowl_sr
53118,Dwayne Smith,326,318,26,7777,0,26.63,6094,127.61,5,46,750,372,168,2184,2959,105,28.18,8.12,20.8
47492,Dale Steyn,188,57,24,275,0,8.33,248,110.88,0,0,22,8,185,4175,4645,212,21.91,6.67,19.6
587152,Pravin Tambe,61,13,9,38,0,9.5,72,52.77,0,0,1,1,61,1302,1529,67,22.82,7.04,19.4
459508,Andrew Tye,105,43,16,303,42,11.22,258,117.44,0,0,17,17,104,2366,3071,155,19.81,7.78,15.2
237095,Murali Vijay,154,152,5,3739,127,25.43,3076,121.55,2,20,347,133,7,60,70,0,0,7,0
297583,Kyle Abbott,118,42,23,231,29,12.15,212,108.96,0,0,15,7,116,2468,3372,114,29.57,8.19,21.6
43906,Hashim Amla,139,138,14,4121,0,33.23,3199,128.82,2,27,439,89,2,2,5,0,0,15,0
376324,Anureet Singh,57,28,14,172,0,12.28,165,104.24,0,0,11,7,56,1117,1538,51,30.15,8.26,21.9
960369,Armaan Jaffer,1,1,0,27,27,27,16,168.75,0,0,4,1,0,0,0,0,0,0,0
44410,Farhaan Behardien,156,130,53,2865,0,37.2,2133,134.31,0,11,175,114,12,115,176,5,35.2,9.18,23
777537,KC Cariappa,17,6,3,21,0,7,26,80.76,0,0,0,1,17,366,503,15,33.53,8.24,24.4
290727,Rishi Dhawan,76,60,28,992,0,31,869,114.15,0,2,91,15,71,1426,1779,54,32.94,7.48,26.4
537124,Gurkeerat Singh Mann,78,67,12,1150,0,20.9,934,123.12,0,5,126,32,13,144,176,6,29.33,7.33,24
6033,Mitchell Johnson,112,52,27,320,30,12.8,304,105.26,0,0,23,10,111,2494,3172,123,25.78,7.63,20.2
321777,David Miller,265,240,76,5929,0,36.15,4265,139.01,3,27,432,258,3,18,31,0,0,10.33,0
554700,Nikhil Naik,26,25,3,562,0,25.54,436,128.89,0,4,39,23,0,0,0,0,0,0,0
554691,Axar Patel,101,74,23,1034,44,20.27,785,131.71,0,0,62,47,100,2134,2536,92,27.56,7.13,23.1
279810,Wriddhiman Saha,175,148,31,2840,0,24.27,2181,130.21,1,14,251,100,0,0,0,0,0,0,0
34155,Pardeep Sahu,15,11,4,134,27,19.14,118,113.55,0,0,9,4,7,129,165,4,41.25,7.67,32.2
438362,Sandeep Sharma,94,23,18,61,0,12.2,68,89.7,0,0,5,0,94,2042,2570,109,23.57,7.55,18.7
537119,Mohit Sharma,110,33,16,142,0,8.35,135,105.18,0,0,9,5,109,2192,3053,109,28,8.35,20.1
232292,Swapnil Singh,38,28,12,343,44,21.43,268,127.98,0,0,21,17,35,672,826,35,23.6,7.37,19.2
475281,Shardul Thakur,54,12,4,54,0,6.75,43,125.58,0,0,5,1,54,1120,1579,60,26.31,8.45,18.6
532856,Manan Vohra,86,82,4,2034,95,26.07,1597,127.36,0,11,209,65,0,0,0,0,0,0,0
6683,Shaun Marsh,166,163,23,5491,115,39.22,4269,128.62,2,42,536,174,2,12,13,0,0,6.5,0
325026,Glenn Maxwell,219,207,24,4606,0,25.16,2961,155.55,2,23,388,239,142,1761,2317,74,31.31,7.89,23.7
325012,Marcus Stoinis,68,55,12,906,99,21.06,756,119.84,0,3,69,26,57,880,1271,43,29.55,8.66,20.4
28763,Gautam Gambhir,251,245,24,6402,93,28.96,5309,120.58,0,53,747,90,0,0,0,0,0,0,0
32966,Piyush Chawla,208,120,40,1151,0,14.38,944,121.92,0,0,98,42,207,4290,5379,218,24.67,7.52,19.6
5681,Brad Hogg,141,47,24,351,54,15.26,333,105.4,0,1,18,8,137,3005,3465,140,24.75,6.91,21.4
391485,Jason Holder,84,59,16,638,54,14.83,498,128.11,0,1,47,32,83,1647,2131,61,34.93,7.76,27
237696,Sheldon Jackson,41,40,3,726,0,19.62,698,104.01,0,3,78,19,0,0,0,0,0,0,0
559235,Kuldeep Yadav,74,14,8,90,0,15,102,88.23,0,0,8,0,73,1575,1962,97,20.22,7.47,16.2
326637,Chris Lynn,131,125,17,3558,101,32.94,2469,144.1,1,23,282,203,7,78,93,3,31,7.15,26
339955,Manan Sharma,26,13,5,131,20,16.37,165,79.39,0,0,9,2,24,489,495,32,15.46,6.07,15.2
46538,Morne Morkel,174,48,25,207,0,9,183,113.11,0,0,16,7,172,3874,4880,190,25.68,7.55,20.3
232359,Colin Munro,196,183,27,4741,0,30.39,3223,147.09,4,27,375,263,45,434,684,20,34.2,9.45,21.7
230558,Sunil Narine,299,157,39,1694,79,14.35,1152,147.04,0,6,154,101,294,6840,6784,342,19.83,5.95,20
290630,Manish Pandey,194,180,34,4143,0,28.37,3474,119.25,1,20,349,112,10,168,212,10,21.2,7.57,16.8
32498,Yusuf Pathan,247,219,54,4561,100,27.64,3199,142.57,1,21,360,232,136,2157,2763,96,28.78,7.68,22.4
591650,Ankit Rajpoot,54,11,5,29,8,4.83,43,67.44,0,0,4,0,54,1078,1351,68,19.86,7.51,15.8
276298,Andre Russell,268,222,54,4107,0,24.44,2454,167.35,2,13,283,302,248,4548,6209,244,25.44,8.19,18.6
33870,Rajagopal Sathish,67,53,15,722,0,19,560,128.92,0,0,62,23,37,541,633,24,26.37,7.02,22.5
56143,Shakib Al Hasan,277,252,42,4350,0,20.71,3558,122.25,0,15,401,112,271,5799,6600,313,21.08,6.82,18.5
8076,Shaun Tait,171,53,25,163,26,5.82,201,81.09,0,0,8,7,167,3674,4891,218,22.43,7.98,16.8
390484,Jaydev Unadkat,110,35,18,256,0,15.05,201,127.36,0,0,16,13,109,2331,3054,134,22.79,7.86,17.3
35582,Robin Uthappa,232,225,20,5898,92,28.77,4383,134.56,0,33,603,205,1,6,11,0,0,11,0
446507,Suryakumar Yadav,112,95,26,1836,72,26.6,1361,134.9,0,7,174,67,10,132,140,6,23.33,6.36,22
376116,Umesh Yadav,129,37,21,130,0,8.12,120,108.33,0,0,9,7,127,2683,3663,136,26.93,8.19,19.7
228622,John Hastings,106,74,22,877,0,16.86,568,154.4,0,3,62,52,104,2163,2866,116,24.7,7.95,18.6
34102,Rohit Sharma,289,277,44,7550,118,32.4,5672,133.11,5,52,656,313,57,628,817,29,28.17,7.8,21.6
277662,Corey Anderson,122,106,21,2337,0,27.49,1635,142.93,0,10,153,141,54,783,1183,32,36.96,9.06,24.4
625383,Jasprit Bumrah,126,20,13,69,0,9.85,76,90.78,0,0,4,3,126,2792,3351,147,22.79,7.2,18.9
308967,Jos Buttler,234,213,41,5124,0,29.79,3545,144.54,0,33,425,215,0,0,0,0,0,0,0
446499,Unmukt Chand,67,65,4,1325,125,21.72,1153,114.91,3,3,125,55,0,0,0,0,0,0,0
393279,Marchant de Lange,75,27,13,159,0,11.35,119,133.61,0,0,14,5,72,1519,2160,86,25.11,8.53,17.6
344580,Shreyas Gopal,27,12,3,153,39,17,133,115.03,0,0,11,4,24,433,556,26,21.38,7.7,16.6
226492,Martin Guptill,213,208,19,6167,0,32.62,4810,128.21,4,40,534,265,2,12,19,0,0,9.5,0
29264,Harbhajan Singh,251,149,49,1501,78,15.01,1154,130.06,0,2,141,73,239,5123,5744,219,26.22,6.72,23.3
919241,Kishore Kamath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422342,Siddhesh Lad,24,20,4,464,82,29,385,120.51,0,2,45,13,11,150,189,7,27,7.56,21.4
319439,Mitchell McClenaghan,166,61,30,207,20,6.67,170,121.76,0,0,13,12,163,3557,4996,199,25.1,8.42,17.8
625371,Hardik Pandya,114,94,29,1705,0,26.23,1293,131.86,0,6,112,91,106,1747,2310,87,26.55,7.93,20
471342,Krunal Pandya,62,50,14,967,86,26.86,658,146.96,0,2,84,41,59,1074,1246,51,24.43,6.96,21
32242,Parthiv Patel,182,179,12,3820,82,22.87,3120,122.43,0,21,493,67,0,0,0,0,0,0,0
230559,Kieron Pollard,431,388,107,8511,104,30.28,5632,151.11,1,42,548,550,287,4486,6112,255,23.96,8.17,17.5
807791,Deepak Punia,13,11,5,102,0,17,91,112.08,0,0,5,5,13,258,354,15,23.6,8.23,17.2
604527,Nitish Rana,62,57,6,1393,97,27.31,1027,135.63,0,8,116,73,16,151,204,8,25.5,8.1,18.8
33141,Ambati Rayudu,195,184,24,4235,0,26.46,3362,125.96,1,23,360,148,0,0,0,0,0,0,0
721867,Jitesh Sharma,25,25,0,707,106,28.28,536,131.9,1,5,83,15,1,6,5,0,0,5,0
853259,Nathu Singh,16,4,2,1,0,0.5,5,20,0,0,0,0,16,344,333,23,14.47,5.8,14.9
232364,Tim Southee,161,79,23,659,74,11.76,439,150.11,0,2,54,35,157,3431,4754,177,26.85,8.31,19.3
527663,Jagadeesha Suchith,31,15,6,102,0,11.33,88,115.9,0,0,6,4,30,564,709,27,26.25,7.54,20.8
53191,Jerome Taylor,101,41,19,228,21,10.36,194,117.52,0,0,16,12,100,2152,2952,126,23.42,8.23,17
35731,Vinay Kumar,164,81,31,755,68,15.1,601,125.62,0,1,53,30,163,3358,4474,170,26.31,7.99,19.7
269520,Akshay Wakhare,30,9,3,67,0,11.16,60,111.66,0,0,5,2,30,600,690,28,24.64,6.9,21.4
49758,Lasith Malinga,263,79,33,357,0,7.76,349,102.29,0,0,23,19,258,5801,6696,353,18.96,6.92,16.4
53116,Lendl Simmons,219,216,22,5649,0,29.11,4877,115.82,1,43,533,226,32,376,547,22,24.86,8.72,17
28081,MS Dhoni,297,266,108,6075,0,38.44,4461,136.18,0,24,420,267,1,12,25,0,0,12.5,0
422992,Ankit Sharma,57,32,8,258,41,10.75,232,111.2,0,0,24,8,54,1015,1225,42,29.16,7.24,24.1
477071,Baba Aparajith,33,31,4,646,0,23.92,602,107.3,0,1,51,12,13,152,157,7,22.42,6.19,21.7
528067,Murugan Ashwin,32,11,3,74,0,9.25,88,84.09,0,0,3,2,32,665,823,35,23.51,7.42,19
26421,Ravichandran Ashwin,210,72,30,587,46,13.97,512,114.64,0,0,53,14,207,4478,5112,210,24.34,6.84,21.3
4451,George Bailey,184,167,40,3591,0,28.27,2779,129.21,0,20,307,102,1,12,24,0,0,12,0
