batsman,nonstrike,bowler,runs,wickets,home,ave_score,sr,bowl_ave,bowl_sr,econ,innings,wickets
2,2,4,7,1,0,29.95,116.91,21.77,16.6,7.85,0,1
2,2,3,5,0,0,29.95,116.91,29.22,20.5,8.52,0,0
2,2,4,2,0,0,27.64,142.57,21.77,16.6,7.85,0,0
2,2,3,7,0,0,27.64,142.57,29.22,20.5,8.52,0,0
2,2,4,9,0,0,29.95,116.91,21.77,16.6,7.85,0,0
2,2,4,11,0,0,27.64,142.57,30.21,24.0,7.54,0,0
2,2,3,14,0,0,27.64,142.57,82.62,56.7,8.73,0,0
0,2,4,2,1,0,28.12,115.41,21.46,16.8,7.62,0,1
1,1,4,16,0,1,40.3,148.29,29.88,24.8,7.22,1,0
1,1,4,23,0,1,40.3,148.29,22.79,17.3,7.86,1,0
1,2,4,7,1,1,26.12,129.8,29.88,24.8,7.22,1,1
1,2,4,3,0,1,26.12,129.8,30.54,24.0,7.6,1,0
2,1,4,7,0,1,40.75,133.33,29.88,24.8,7.22,1,0
2,2,4,7,1,1,35.36,147.91,30.54,24.0,7.6,1,1
2,2,4,5,0,1,35.36,147.91,25.75,22.1,6.98,1,0
0,2,4,5,1,1,21.7,102.99,30.54,24.0,7.6,1,1
2,0,4,10,0,1,35.36,147.91,25.75,22.1,6.98,1,0
2,0,4,2,0,1,35.36,147.91,22.19,17.1,7.76,1,0
2,0.0,4,7,1,1,35.36,147.91,22.79,17.3,7.86,1,1
2,2,4,3,1,1,29.34,121.62,25.75,22.1,6.98,1,1
2,0,4,4,0,1,35.36,147.91,22.19,17.1,7.76,1,0
2,2,4,2,1,1,33.23,128.82,27.72,21.7,7.64,0,1
2,2,4,1,0,1,33.23,128.82,25.0,19.1,7.83,0,0
2,2,4,10,0,1,33.23,128.82,27.72,21.7,7.64,0,0
2,2,4,6,0,1,39.22,128.62,25.0,19.1,7.83,0,0
2,2,3.0,8,0,1,33.23,128.82,27.86269230769231,21.53619230769231,7.669653846153847,0,0
2,2,2,15,0,1,33.23,128.82,23.6,17.8,7.92,0,0
2,2,2,10,0,1,39.22,128.62,31.42,24.2,7.78,0,0
2,2,3.0,9,0,1,39.22,128.62,27.86269230769231,21.53619230769231,7.669653846153847,0,0
2,2,2,8,0,1,33.23,128.82,31.42,24.2,7.78,0,0
2,2,2,9,0,1,39.22,128.62,23.6,17.8,7.92,0,0
2,2,3.0,8,0,1,33.23,128.82,27.86269230769231,21.53619230769231,7.669653846153847,0,0
2,2,2,10,0,1,33.23,128.82,23.6,17.8,7.92,0,0
2,2,3.0,10,0,1,33.23,128.82,27.86269230769231,21.53619230769231,7.669653846153847,0,0
2,2,4,5,0,1,33.23,128.82,25.0,19.1,7.83,0,0
2,2,3.0,9,0,1,39.22,128.62,27.86269230769231,21.53619230769231,7.669653846153847,0,0
2,2,4,10,1,1,33.23,128.82,25.0,19.1,7.83,0,1
2,2,3.0,17,0,1,33.23,128.82,27.86269230769231,21.53619230769231,7.669653846153847,0,0
2,2,2,9,0,1,33.23,128.82,23.6,17.8,7.92,0,0
2,2,4,16,0,1,25.16,155.55,27.72,21.7,7.64,0,0
0,2,3.0,14,1,1,20.27,131.71,27.86269230769231,21.53619230769231,7.669653846153847,0,1
0,2,4,7,0,0,22.96,129.22,23.57,18.7,7.55,1,0
0,2,4,10,0,0,22.96,129.22,28.0,20.1,8.35,1,0
2,0,4,6,0,0,26.63,127.61,23.57,18.7,7.55,1,0
2,0,4,13,0,0,26.63,127.61,29.95,21.3,8.4,1,0
2,0,4,11,0,0,26.63,127.61,23.57,18.7,7.55,1,0
0,2,4,9,0,0,22.96,129.22,28.0,20.1,8.35,1,0
2,0,4,11,0,0,26.63,127.61,27.56,23.1,7.13,1,0
0,2,4,12,0,0,22.96,129.22,31.31,23.7,7.89,1,0
2,0,4,10,0,0,26.63,127.61,27.56,23.1,7.13,1,0
2,2,3.0,12,1,0,33.59,139.25,27.86269230769231,21.53619230769231,7.669653846153847,1,1
2,2,4,10,0,0,33.59,139.25,29.95,21.3,8.4,1,0
2,2,4,9,1,0,27.01,132.55,31.31,23.7,7.89,1,1
2,2,4,8,0,0,27.01,132.55,27.56,23.1,7.13,1,0
2,2,4,6,0,0,33.59,139.25,28.0,20.1,8.35,1,0
2,2,3.0,10,0,0,33.59,139.25,27.86269230769231,21.53619230769231,7.669653846153847,1,0
2,2,4,10,0,0,33.59,139.25,28.0,20.1,8.35,1,0
2,2,4,4,0,0,33.59,139.25,29.95,21.3,8.4,1,0
0,2,4,4,2,0,21.68,122.96,23.57,18.7,7.55,1,2
0,2,4,16,0,0,21.68,122.96,29.95,21.3,8.4,1,0
2,0,3.0,8,0,0,27.01,132.55,27.86269230769231,21.53619230769231,7.669653846153847,1,0
0,2,2,4,0,0,22.68,118.03,21.91,19.6,6.67,0,0
0,2,3.0,9,0,0,22.68,118.03,27.86269230769231,21.53619230769231,7.669653846153847,0,0
0,2,2,2,0,0,22.68,118.03,21.91,19.6,6.67,0,0
2,0,3.0,5,0,0,32.9,121.08,27.86269230769231,21.53619230769231,7.669653846153847,0,0
0,2,3,6,0,0,22.68,118.03,19.5,15.0,7.8,0,0
2,0,4,5,1,0,32.9,121.08,30.54,24.0,7.6,0,1
