player_name,bowl_ave,econ,bowl_sr,balls
Peter Handscomb,0.0,0.0,0.0,0
Jaskaran Singh,34.83,8.03,26.0,312
Usman Khawaja,0.0,0.0,0.0,0
Albie Morkel,25.49,7.61,20.0,4924
Ishwar Pandey,25.86,7.07,21.9,1118
Irfan Pathan,25.9,7.55,20.5,3475
Thisara Perera,25.88,8.51,18.2,3941
Ajinkya Rahane,5.0,5.0,6.0,6
Ishant Sharma,36.23,7.85,27.6,2437
RP Singh,24.91,7.51,19.8,2903
Saurabh Tiwary,0.0,0.0,0.0,0
Adam Zampa,21.84,7.29,17.9,1959
Faf du Plessis,18.34,6.96,15.8,790
Mitchell Marsh,26.59,8.34,19.1,803
Kevin Pietersen,31.41,8.09,23.2,396
Steven Smith,19.48,7.71,15.1,818
Virat Kohli,82.62,8.73,56.7,454
Varun Aaron,29.95,8.4,21.3,1368
Abu Nechim,25.84,7.65,20.2,1195
Sreenath Aravind,21.77,7.85,16.6,1714
Stuart Binny,25.72,7.64,20.1,1231
Yuzvendra Chahal,22.83,7.45,18.3,2755
AB de Villiers,0.0,0.0,0.0,0
Praveen Dubey,12.3,6.64,11.1,111
Chris Gayle,30.21,7.54,24.0,1897
Travis Head,26.35,8.75,18.0,307
Iqbal Abdulla,25.75,6.98,22.1,1749
Kedar Jadhav,22.0,8.8,15.0,60
Chris Jordan,26.72,8.4,19.0,2615
Akshay Karnewar,29.46,7.84,22.5,293
Sarfaraz Khan,0.0,0.0,0.0,0
Vikramjeet Malik,23.0,7.34,18.7,827
Mandeep Singh,15.71,6.19,15.2,213
Parvez Rasool,31.02,6.81,27.3,984
Harshal Patel,27.7,7.9,21.0,1556
Lokesh Rahul,0.0,0.0,0.0,0
Kane Richardson,26.34,8.18,19.3,1604
Sachin Baby,44.33,8.48,31.3,94
Tabraiz Shamsi,24.42,7.31,20.0,1982
Vikas Tokas,24.06,8.16,17.6,283
Shane Watson,27.1,7.9,20.5,4423
David Wiese,24.96,8.35,17.9,2455
Samuel Badree,22.16,6.02,22.0,4125
Adam Milne,23.16,7.68,18.0,1736
Mitchell Starc,17.44,7.14,14.6,1860
David Warner,0.0,13.0,0.0,6
Ashish Reddy,22.24,7.97,16.7,904
Ricky Bhui,0.0,0.0,0.0,0
Bipul Sharma,23.24,6.45,21.6,1404
Trent Boult,27.05,8.39,19.3,1895
Ben Cutting,32.36,8.94,21.7,1975
Shikhar Dhawan,16.5,8.25,12.0,48
Moises Henriques,30.26,8.31,21.8,2336
Deepak Hooda,49.6,7.85,37.9,379
Siddarth Kaul,23.68,7.26,19.5,1839
Bhuvneshwar Kumar,23.48,7.09,19.8,3098
Abhimanyu Mithun,29.22,8.52,20.5,988
Eoin Morgan,0.0,0.0,0.0,0
Mustafizur Rahman,21.15,7.21,17.5,1636
Naman Ojha,0.0,0.0,0.0,0
Vijay Shankar,41.76,8.93,28.0,477
Karn Sharma,24.58,7.34,20.0,2027
Barinder Sran,25.85,8.17,18.9,759
Tirumalasetti Suman,33.11,7.92,25.0,426
Aditya Tare,0.0,0.0,0.0,0
Kane Williamson,29.5,7.0,25.2,758
Yuvraj Singh,24.2,7.44,19.5,1561
Ashish Nehra,22.54,7.7,17.5,2845
Matt Henry,30.51,8.79,20.8,1458
