player_name,bowl_ave,econ,bowl_sr,balls
Kamran Akmal,0.0,0.0,0.0,0
Sumit Khatri,0.0,0.0,0.0,0
Darren Lehmann,23.27,6.73,20.7,228
Sohail Tanvir,25.03,7.31,20.5,6182
Younis Khan,22.66,7.84,17.3,104
Rinku Singh,0.0,0.0,0.0,0
Mujeeb Ur Rahman,20.64,6.99,17.71,248
Evin Lewis,0.0,0.0,0.0,0
Mayank Markhande,24.53,8.36,17.6,264
Washington Sundar,31.41,7.54,25.0,300
Chris Woakes,23.04,9.24,14.96,374
Aniket Choudhary,28.8,8.55,20.2,101
D’Arcy Short,19.0,6.33,18.0,18
Ben Stokes,30.95,7.64,24.3,486
Rahul Tripathi,0.0,12.0,0.0,6
Krishnappa Gowtham,28.36,7.8,21.81,240
Rashid Khan,21.47,6.68,19.26,732
Billy Stanlake,28.57,8.33,20.57,144
