key,0s,1s,2s,3s,4s,6s,outs,balls
"KK Nair, AD Russell",0.391304347826087,0.6956521739130435,0.8695652173913043,0.8695652173913043,1.0,1.0,0.0,23
"Harbhajan Singh, FH Edwards",0.2,0.8,0.8,0.8,1.0,1.0,0.0,5
"S Narwal, S Ladda",0.6,0.8,0.8,0.8,1.0,1.0,0.0,5
"AB McDonald, SW Tait",0.25,0.75,0.75,0.75,1.0,1.0,0.0,4
"R Dhawan, STR Binny",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
"RA Tripathi, SR Watson",0.5,1.0,1.0,1.0,1.0,1.0,0.0,2
"KA Pollard, MM Sharma",0.4117647058823529,0.7941176470588235,0.9117647058823529,0.9117647058823529,0.9411764705882353,1.0,0.08823529411764706,34
"KH Pandya, JP Faulkner",0.23076923076923078,0.6153846153846154,0.6923076923076923,0.6923076923076923,1.0,1.0,0.0,13
"DA Warner, A Ashish Reddy",0.25,0.375,0.375,0.375,0.75,1.0,0.0,8
"RG Sharma, Karanveer Singh",0.25,0.75,1.0,1.0,1.0,1.0,0.0,4
"AC Gilchrist, AB Agarkar",0.4,0.45,0.5,0.5,0.9,1.0,0.05,20
"NV Ojha, JO Holder",0.5714285714285714,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,7
"JD Ryder, Shakib Al Hasan",0.5714285714285714,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,0.0,7
"CH Gayle, Iqbal Abdulla",0.5,0.75,0.75,0.75,1.0,1.0,0.0,4
"SK Raina, MM Sharma",0.2631578947368421,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.8947368421052632,1.0,0.05263157894736842,19
"DA Miller, RA Jadeja",0.23404255319148937,0.6595744680851063,0.7659574468085106,0.7659574468085106,0.8936170212765957,1.0,0.02127659574468085,47
"RG Sharma, RA Jadeja",0.273972602739726,0.8904109589041096,0.9589041095890412,0.9589041095890412,0.9726027397260275,1.0,0.0273972602739726,73
"SPD Smith, P Kumar",0.32142857142857145,0.5714285714285714,0.6785714285714285,0.6785714285714285,1.0,1.0,0.0,28
"SC Ganguly, DJ Bravo",0.42857142857142855,0.8095238095238095,0.8571428571428572,0.8571428571428572,0.9523809523809524,1.0,0.0,21
"UBT Chand, D Wiese",0.2,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.0,1.0,0.0,10
"SR Tendulkar, BAW Mendis",0.25,0.625,0.75,0.75,0.75,1.0,0.125,8
"K Upadhyay, L Balaji",0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
"Azhar Mahmood, M Muralitharan",0.25,0.75,0.75,0.75,0.9166666666666666,1.0,0.0,12
"A Choudhary, BCJ Cutting",0.5,0.5,0.5,0.5,0.5,1.0,0.0,2
"BMAJ Mendis, KV Sharma",0.0,1.0,1.0,1.0,1.0,1.0,0.0,2
"KV Sharma, DJ Bravo",0.3684210526315789,0.8421052631578947,0.9473684210526315,0.9473684210526315,1.0,1.0,0.10526315789473684,19
"A Chopra, Harmeet Singh",0.875,0.875,0.875,0.875,1.0,1.0,0.0,8
"RP Singh, RA Jadeja",0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
"KP Pietersen, IK Pathan",0.23076923076923078,0.5384615384615385,0.6923076923076924,0.6923076923076924,1.0,1.0,0.0,13
"DPMD Jayawardene, P Parameswaran",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
"HH Gibbs, SR Watson",0.3333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.9999999999999999,0.9999999999999999,0.0,6
"BB McCullum, UT Yadav",0.38235294117647056,0.7352941176470589,0.7647058823529412,0.7647058823529412,0.9411764705882354,1.0,0.029411764705882353,34
"R McLaren, Z Khan",0.375,0.875,0.875,0.875,1.0,1.0,0.0,8
"Y Venugopal Rao, IC Pandey",0.0,1.0,1.0,1.0,1.0,1.0,0.0,2
"MK Tiwary, WPUJC Vaas",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
"RG Sharma, Yuvraj Singh",0.36363636363636365,0.8863636363636364,0.9318181818181818,0.9318181818181818,0.9772727272727272,0.9999999999999999,0.0,44
"AD Mathews, J Suchith",0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,3
"SC Ganguly, RR Powar",0.6363636363636364,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9545454545454546,1.0,0.0,22
"MEK Hussey, Yuvraj Singh",0.0,1.0,1.0,1.0,1.0,1.0,0.0,5
"N Rana, Mustafizur Rahman",0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,0.0,7
"DT Christian, AB Agarkar",0.16666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,6
"V Kohli, M Kartik",0.3333333333333333,0.8333333333333333,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.16666666666666666,6
